STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
LCC,M,2,RAIN,2008-01-01 00:00,2008-01-01 00:00,7.97,,INCHES
LCC,M,2,RAIN,2008-02-01 00:00,2008-02-01 00:00,1.64,,INCHES
LCC,M,2,RAIN,2008-03-01 00:00,2008-03-01 00:00,0.01,,INCHES
LCC,M,2,RAIN,2008-04-01 00:00,2008-04-01 00:00,0.04,,INCHES
LCC,M,2,RAIN,2008-05-01 00:00,2008-05-01 00:00,0.11,,INCHES
LCC,M,2,RAIN,2008-06-01 00:00,2008-06-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2008-07-01 00:00,2008-07-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2008-08-01 00:00,2008-08-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2008-09-01 00:00,2008-09-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2008-10-01 00:00,2008-10-01 00:00,0.02,,INCHES
LCC,M,2,RAIN,2008-11-01 00:00,2008-11-01 00:00,1.85,,INCHES
LCC,M,2,RAIN,2008-12-01 00:00,2008-12-01 00:00,2.79,,INCHES
LCC,M,2,RAIN,2009-01-01 00:00,2009-01-01 00:00,0.34,,INCHES
LCC,M,2,RAIN,2009-02-01 00:00,2009-02-01 00:00,3.57,,INCHES
LCC,M,2,RAIN,2009-03-01 00:00,2009-03-01 00:00,0.33,,INCHES
LCC,M,2,RAIN,2009-04-01 00:00,2009-04-01 00:00,0.03,,INCHES
LCC,M,2,RAIN,2009-05-01 00:00,2009-05-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2009-06-01 00:00,2009-06-01 00:00,0.15,,INCHES
LCC,M,2,RAIN,2009-07-01 00:00,2009-07-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2009-08-01 00:00,2009-08-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2009-09-01 00:00,2009-09-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2009-10-01 00:00,2009-10-01 00:00,2.07,,INCHES
LCC,M,2,RAIN,2009-11-01 00:00,2009-11-01 00:00,0.01,,INCHES
LCC,M,2,RAIN,2009-12-01 00:00,2009-12-01 00:00,2.89,,INCHES
LCC,M,2,RAIN,2010-01-01 00:00,2010-01-01 00:00,4.94,,INCHES
LCC,M,2,RAIN,2010-02-01 00:00,2010-02-01 00:00,4.27,,INCHES
LCC,M,2,RAIN,2010-03-01 00:00,2010-03-01 00:00,0.48,,INCHES
LCC,M,2,RAIN,2010-04-01 00:00,2010-04-01 00:00,1.65,,INCHES
LCC,M,2,RAIN,2010-05-01 00:00,2010-05-01 00:00,0.05,,INCHES
LCC,M,2,RAIN,2010-06-01 00:00,2010-06-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2010-07-01 00:00,2010-07-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2010-08-01 00:00,2010-08-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2010-09-01 00:00,2010-09-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2010-10-01 00:00,2010-10-01 00:00,0.94,,INCHES
LCC,M,2,RAIN,2010-11-01 00:00,2010-11-01 00:00,0.53,,INCHES
LCC,M,2,RAIN,2010-12-01 00:00,2010-12-01 00:00,10.23,,INCHES
LCC,M,2,RAIN,2011-01-01 00:00,2011-01-01 00:00,0.79,,INCHES
LCC,M,2,RAIN,2011-02-01 00:00,2011-02-01 00:00,3.29,,INCHES
LCC,M,2,RAIN,2011-03-01 00:00,2011-03-01 00:00,3.96,,INCHES
LCC,M,2,RAIN,2011-04-01 00:00,2011-04-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2011-05-01 00:00,2011-05-01 00:00,0.45,,INCHES
LCC,M,2,RAIN,2011-06-01 00:00,2011-06-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2011-07-01 00:00,2011-07-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2011-08-01 00:00,2011-08-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2011-09-01 00:00,2011-09-01 00:00,0.00,,INCHES
LCC,M,2,RAIN,2011-10-01 00:00,2011-10-01 00:00,1.17,,INCHES
LCC,M,2,RAIN,2011-11-01 00:00,2011-11-01 00:00,1.58,,INCHES
LCC,M,2,RAIN,2011-12-01 00:00,2011-12-01 00:00,1.01,,INCHES
